_id,NomEmpresa,IdcClassificacaoBarragens,DatConclusaoConstrucao
247,Rio Paranapanema Energia S.A.,B,1961-10-15
248,Companhia Brasileira de Alumínio,B,1946-11-30
249,Lasa Lago Azul S.A.,C,1905-06-07
250,CEB Lajeado S.A,B,2001-02-20
251,INVESTCO SA,B,2001-02-20
252,LAJEADO ENERGIA S/A,B,2001-02-20
253,PAULISTA LAJEADO ENERGIA S/A,B,2001-02-20
254,Lajes Energia S.A,B,1945-01-01
255,Lajes Energia S.A,B,1945-01-01
256,Lajes Energia S.A,B,1904-01-01
257,Lajes Energia S.A,B,1959-01-01
258,Lajes Energia S.A,B,1913-01-01
259,Lajes Energia S.A,B,1908-01-01
260,BRF S.A.,C,1941-02-02
261,Chimay Empreendimentos e Participações Ltda.,B,1917-01-05
262,AES Brasil Operações S.A.,B,1958-09-25
263,AES Brasil Operações S.A.,B,1979-03-16
264,CEMIG Geração e Transmissão S.A.,B,1914-10-01
265,Quanta Geração S.A.,B,1950-01-01
266,Quanta Geração S.A.,B,1950-01-01
267,CPFL ENERGIAS RENOVÁVEIS S.A.,C,1911-01-01
268,ALCOA ALUMÍNIO S/A,B,2001-08-28
269,Companhia Brasileira de Alumínio,B,2001-08-28
270,DME DISTRIBUIÇÃO S.A. - DMED,B,2001-08-28
271,ENGIE Brasil Energia S.A.,B,2001-08-28
272,MACHADINHO PARTICIPACOES S.A.,B,2001-08-28
273,VALE S.A.,B,2001-08-28
274,Votorantim Cimentos Machadinho Energia Ltda.,B,2001-08-28
275,ALCOA ALUMÍNIO S/A,B,2001-08-28
276,Companhia Brasileira de Alumínio,B,2001-08-28
277,DME DISTRIBUIÇÃO S.A. - DMED,B,2001-08-28
278,ENGIE Brasil Energia S.A.,B,2001-08-28
279,MACHADINHO PARTICIPACOES S.A.,B,2001-08-28
280,VALE S.A.,B,2001-08-28
281,Votorantim Cimentos Machadinho Energia Ltda.,B,2001-08-28
282,ALCOA ALUMÍNIO S/A,B,2001-08-28
283,Companhia Brasileira de Alumínio,B,2001-08-28
284,DME DISTRIBUIÇÃO S.A. - DMED,B,2001-08-28
285,ENGIE Brasil Energia S.A.,B,2001-08-28
286,MACHADINHO PARTICIPACOES S.A.,B,2001-08-28
287,VALE S.A.,B,2001-08-28
288,Votorantim Cimentos Machadinho Energia Ltda.,B,2001-08-28
289,Furnas-Centrais Elétricas S.A.,B,2000-01-01
290,Produtores Energéticos de Manso S.A,B,2000-01-01
291,Furnas-Centrais Elétricas S.A.,B,1975-10-25
292,CEMIG Geração Sul S.A.,B,1914-12-01
293,CEMIG Geração Oeste S.A.,C,1950-10-01
294,Fertiligas Indústria  e Comércio Ltda.,B,1928-02-29
295,Energest S.A.,B,1974-02-20
296,Energest S.A.,B,1974-02-20
297,Energest S.A.,B,1974-02-20
298,"Libraga, Brandão & Cia Ltda.",C,1961-07-31
299,ZONA DA MATA GERAÇÃO S/A,C,1924-06-15
300,RIO NOVO ENERGIAS RENOVÁVEIS LTDA,C,1900-01-01
301,COMPANHIA ENERGÉTICA MIRANDA,B,1997-05-01
302,AES Brasil Operações S.A.,B,1994-10-30
303,Mohini Empreendimentos e Participações Ltda.,C,1909-01-10
304,VOTORANTIM CIMENTOS S.A.,C,1948-06-15
305,MONTE SERRAT ENERGÉTICA S/A,B,2008-12-10
306,Copel Geração E Transmissão S.A.,C,1961-01-01
307,Enel Green Power Mourão S.A.,C,1964-06-01
308,Companhia Hidro Elétrica do São Francisco,B,1976-08-01
